zone_name,segment,trench_match_keywords_or_bbox,lon_min,lon_max,lat_min,lat_max,ups_class,t_start_Ma,t_end_Ma,age_basis,citation_short,citation_doi_or_url,notes
West_Philippine_Basin_Mariana,Mariana,bbox; proto-IBM Pacific-facing (Palau-Kyushu); exclude Ryukyu/Nankai (lon<132) and Yap-like south of 8N,132.0,148.0,8.0,24.0,E,55.0,30.0,"midpoint of published spreading range; rifting ~55 Ma, spreading ~54 to 33/30 Ma (used 55-30)",Deschamps & Lallemand 2002 JGR; Hilde & Lee 1984 Tectonophysics; Sdrolias & Müller 2006 G3,https://doi.org/10.1029/2001JB001706; https://doi.org/10.1016/0040-1951(84)90009-X; https://doi.org/10.1029/2005GC001090,"Primary: Deschamps & Lallemand 2002 (rifting ~55 Ma; spreading 54-33/30 Ma). Conflict: Hilde & Lee 1984 give 58-33 Ma (two spreading phases); Sdrolias & Müller 2006 compile 55 to 30-33 Ma. Sasaki et al. 2014 argue cessation ~36 Ma. Used 55-30 Ma (Sdrolias compilation aligned with Deschamps end). WPB opened behind proto-IBM (Palau-Kyushu Ridge), not behind Ryukyu. FP risk: proto-IBM trench in Müller2019 is west of the modern Mariana trench; a present-day-only Mariana box would miss this interval. This box is wider/west-shifted for 55-30 Ma only."
West_Philippine_Basin_IzuBonin,Izu-Bonin,bbox; northern proto-IBM Pacific-facing; exclude Nankai (lon<138),138.0,148.0,24.0,35.0,E,55.0,30.0,same WPB spreading interval as Mariana row; northern proto-IBM may be sparsely sampled,Deschamps & Lallemand 2002 JGR; Sdrolias & Müller 2006 G3,https://doi.org/10.1029/2001JB001706; https://doi.org/10.1029/2005GC001090,WPB was a single basin behind the proto-IBM arc. Northern (Izu-Bonin latitude) trench samples at 55-30 Ma are few in Müller2019. Same age choice as West_Philippine_Basin_Mariana. FP: Nankai is Eurasia-Philippine Sea subduction and is excluded by lon_min=138.
Parece_Vela_Basin,Mariana,bbox; IBM south of ~24N (Parece Vela behind Mariana/West Mariana Ridge),134.0,152.0,8.0,24.0,E,30.0,15.0,initiation ~30 Ma; organized spreading by ~29-28 Ma (chron 10-9); cessation ~15 Ma,Okino et al. 1998 Mar Geophys Res; Sdrolias et al. 2004 Tectonophysics; Mrozowski & Hayes 1979,https://doi.org/10.1023/A:1004377422118; https://doi.org/10.1016/j.tecto.2004.07.003,"Sdrolias et al. 2004: arc rupture and rifting at ~30 Ma; spreading by chron 9o (28 Ma), possibly chron 10o (29 Ma); cessation ~15 Ma during SE Asia plate reorganisation. Okino et al. 1998: PVB spreading. Mrozowski & Hayes 1979: chrons 10-5D (~30-17 Ma). Maffione et al. 2022 (IODP U1438) argue true spreading nearer ~24-22 Ma after 30-24 Ma rifting; we treat rifting+spreading as E. Used 30-15 Ma."
Shikoku_Basin,Izu-Bonin,bbox; Izu-Bonin trench (Shikoku Basin behind Izu-Bonin); exclude Nankai lon<138,138.0,148.0,24.0,35.0,E,29.0,15.0,midpoint of 30 Ma rifting vs 27-26 Ma organized spreading; cessation 15 Ma,Okino et al. 1994; Chamot-Rooke et al. 1987 EPSL; Sdrolias et al. 2004 Tectonophysics,https://doi.org/10.1016/j.tecto.2004.07.003; https://doi.org/10.1016/0012-821X(87)90071-9,"Twin opening with Parece Vela. Sdrolias et al. 2004: rifting ~30 Ma, spreading by 29-28 Ma, ridges joined ~23 Ma, cessation ~15 Ma. Chamot-Rooke et al. 1987 / Okino et al. 1994 often quote 27-15 or 26-15 Ma for Shikoku spreading. Used 29-15. Conflict: Maffione et al. 2022 delay true spreading to ~24-22 Ma. FP: Nankai excluded."
IBM_post_PV_gap,Mariana,bbox; Mariana latitudes after Parece Vela cessation and before Mariana Trough rifting,140.0,152.0,10.0,24.0,N,15.0,7.0,bracketed by PV cessation (~15 Ma) and Mariana Trough rifting (~7 Ma); not a dated 'neutral' event,Okino et al. 1998; Martinez et al. 1995 JGR; Sdrolias & Müller 2006 G3,https://doi.org/10.1023/A:1004377422118; https://doi.org/10.1029/94JB02466; https://doi.org/10.1029/2005GC001090,Documented cessation of PV spreading at ~15 Ma and later resumption seaward in the Mariana Trough. Labelled N (no active back-arc) rather than C; no cordilleran shortening is claimed. Overlap at 15 and 7 Ma is resolved by preferring E.
Mariana_Trough,Mariana,bbox; modern Mariana Trench only (exclude Yap ~138E and Izu-Bonin lat>=24),142.0,152.0,10.0,24.0,E,7.0,0.0,midpoint of rifting 8-6 Ma and spreading from ~6-5 Ma; used 7-0,Hussong & Uyeda 1981 DSDP 60; Martinez et al. 1995 JGR; Yamazaki et al. 2003 G3; Stern et al. 2003,https://doi.org/10.1029/94JB02466; https://doi.org/10.1029/2002GC000492,"Hussong & Uyeda 1981 (DSDP Leg 60): rifting latest Miocene ~6 Ma. Martinez et al. 1995 / Sdrolias & Müller 2006: resumed ~7 Ma. Yamazaki & Stern / Yamazaki et al. 2003: spreading at 18N from ~6 Ma. Stern et al. 2003/2004: rifting after ~10 Ma, spreading ~5 Ma. Conflict: Wikipedia/some reviews quote spreading 3-4 Ma. Used 7-0 (rifting+spreading as E). FP: Izu-Bonin excluded by lat_max=24; Yap excluded by lon_min=142."
Izu_Bonin_post_Shikoku,Izu-Bonin,bbox; Izu-Bonin after Shikoku cessation; Sumisu rifts are not treated as a BAB,139.0,148.0,24.0,35.0,N,15.0,0.0,Shikoku cessation ~15 Ma; no subsequent back-arc spreading behind Izu-Bonin,Okino et al. 1994; Taylor 1992; Sdrolias & Müller 2006 G3,https://doi.org/10.1029/2005GC001090,"After Shikoku cessation the Izu-Bonin arc has no organized back-arc basin. Sumisu/Torishima rifts are nascent (Pliocene-Quaternary) intra-arc rifts, not a spreading BAB; left as N with that caveat. FP: Nankai excluded by lon_min=139. Japan Trench is a separate segment (lat>=35)."
Lau_Basin,Tonga,bbox wrap; Tonga Trench (lon 175 to -168); lat -26 to -14; not Kermadec,175.0,-168.0,-26.0,-14.0,E,6.0,0.0,"opening ~6 Ma; spreading 6-5.5 Ma in the north, southward propagation",Parson & Hawkins 1994; Taylor et al. 1996; Ruellan et al. 2003 G3; Hawkins 1995 ODP 135,https://doi.org/10.1029/2001GC000261; https://doi.org/10.1130/GES02380.1,Ruellan et al. 2003 / Parson & Hawkins 1994: seafloor spreading started 6-5.5 Ma in northern Lau and propagated ~700 km south. Taylor et al. 1996 three-plate kinematics for Brunhes. Geosphere 2022 map: opening ~6 Ma by Tonga rollback. Used 6-0. lon_min>lon_max means wrap across 180. FP: North Fiji is a separate segment; Havre/Kermadec split at 26S.
Havre_Trough,Kermadec,bbox wrap; Kermadec Trench; rifting (not a mature MOR for most of the trough),175.0,-170.0,-40.0,-26.0,E,5.5,0.0,initial splitting ~5.5 Ma; southern Havre may be <2 Ma (conflict noted),Parson & Wright 1996; Caratori Tontini et al. 2019 Nature Geosci; Wysoczanski et al. 2019 NZJGG,https://doi.org/10.1038/s41561-019-0473-9; https://doi.org/10.1080/00288306.2019.1602059,Caratori Tontini et al. 2019: proto-Colville-Kermadec split ~5.5 Ma; early spreading burst 5.5-5.0 to 3.0-2.5 Ma then disorganised rifting. Wysoczanski et al. 2019 Ar-Ar: southern Havre magmatism <2 Ma and coeval with TVZ. Conflict: south may be much younger than 5.5 Ma. Used 5.5-0 for the Kermadec upper plate as a whole (rifting counts as E). Not full MOR spreading. FP: Hikurangi (south of 40S / east of this box) not included.
East_Scotia_Ridge,Scotia,bbox; South Sandwich Trench; East Scotia Ridge back-arc (not West Scotia Ridge),-42.0,-20.0,-63.0,-53.0,E,16.0,0.0,midpoint of 15-17 Ma spreading underway (Larter) vs possible C6 ~20 Ma start; used 16-0,Larter et al. 2003 G3; Eagles et al. 2005 JGR; Eagles & Jokat 2014,https://doi.org/10.1029/2001GC000238; https://doi.org/10.1029/2004JB003154,"Larter et al. 2003: anomalies to C5C, spreading underway by 15-17 Ma; possibly as early as C6 (~20 Ma). Eagles & Jokat 2014: ESR onset ~17 Ma, overlapping West Scotia Ridge until WSR extinction ~6 Ma (Eagles et al. 2005: WSR C8 ~26.5 Ma to C3A ~6 Ma). West Scotia is NOT assigned to this Sandwich-trench box. Used 16-0. In Müller2019 the Sandwich trench only appears after ~15 Ma, matching this onset. FP: southernmost Chile / South Shetland lie west of lon_min=-42."
