Short_Name,Zone,id,Trench_Name,Lon,Lat,Lon1,Lat1,Lon2,Lat2,Az,UPN,Geodetic_UPS,Seismic_UPS,M56_SP_Name,M56_UP_Name,M56_ARC_Name,M56_ARC_ref,M56_vc,M56_Azvc,M56_Ovc,M56_vcn,M56_vs,M56_Azvs,M56_Ovs,M56_vsn,M56_vd,M56_Azvd,M56_Ovd,M56_vdn,alphaS,alphaD,A,Phi
MED1,MED,1,Calabria,17.4,40.0,20.8,40.6,7.5,37.5,255.0,1,SS-E,-999,NUBIA,EURASIA,DEF_CALABRIAN_ARC,Serpelloni et al. (2009),9.0,341.0,86.0,1.0,12.0,335.0,80.0,2.0,3.0,135.0,120.0,-2.0,45.0,54.0,-999.0,-999.0
MED10,MED,10,Aegean,28.0,33.0,29.1,30.5,24.4,40.6,340.0,1,E-SS,-999,NUBIA,EURASIA,RHODES,Vernant et al. (2014),10.0,358.0,18.0,10.0,42.0,6.0,26.0,37.0,32.0,189.0,151.0,-28.0,15.0,42.0,267.0,4584.0
MED11,MED,11,Aegean,30.0,34.4,32.1,32.3,23.2,40.4,320.0,1,SS-E,-999,NUBIA,EURASIA,ISPARTA,Vernant et al. (2014),10.0,357.0,37.0,8.0,20.0,8.0,48.0,14.0,10.0,198.0,122.0,-5.0,18.0,43.0,261.0,1811.0
MED12,MED,12,Cyprean,31.5,34.6,30.9,31.9,33.4,42.6,10.0,1,Neutral,-999,NUBIA,ANATOLIA,-999,-999,16.0,34.0,24.0,14.0,16.0,34.0,24.0,14.0,0.0,-999.0,-999.0,0.0,28.0,51.0,257.0,2243.0
MED13,MED,13,Cyprean,33.5,34.1,33.2,31.4,34.4,42.2,5.0,1,Neutral,-999,NUBIA,ANATOLIA,-999,-999,12.0,41.0,36.0,10.0,12.0,41.0,36.0,10.0,0.0,-999.0,-999.0,0.0,28.0,52.0,-999.0,-999.0
MED14,MED,14,Makran,57.5,24.7,56.3,22.2,61.5,32.0,25.0,1,C-SS,-999,ARABIA,EURASIA,LUT BLOCK,Reilinger et al. (2006),35.0,20.0,5.0,35.0,29.0,27.0,2.0,29.0,7.0,351.0,34.0,6.0,14.0,27.0,-999.0,-999.0
MED15,MED,15,Makran,59.5,24.2,59.1,21.4,60.8,32.1,8.0,1,C-SS,-999,ARABIA,EURASIA,LUT BLOCK,Reilinger et al. (2006),36.0,21.0,13.0,35.0,31.0,27.0,19.0,30.0,6.0,350.0,18.0,6.0,15.0,29.0,-999.0,-999.0
MED16,MED,16,Makran,61.5,24.0,61.6,21.3,61.3,32.1,359.0,1,C-SS,-999,ARABIA,EURASIA,LUT BLOCK,Reilinger et al. (2006),38.0,21.0,22.0,35.0,33.0,26.0,27.0,29.0,6.0,349.0,10.0,6.0,14.0,34.0,-999.0,-999.0
MED17,MED,17,Makran,63.5,24.1,63.7,21.4,62.8,32.2,356.0,1,C,-999,ARABIA,EURASIA,LUT BLOCK,Reilinger et al. (2006),39.0,21.0,25.0,35.0,34.0,26.0,30.0,30.0,5.0,350.0,7.0,5.0,13.0,38.0,93.0,1173.0
MED18,MED,18,Makran,65.5,24.5,66.3,21.9,63.0,32.3,345.0,1,C,-999,ARABIA,EURASIA,LUT BLOCK,Reilinger et al. (2006),40.0,21.0,36.0,32.0,36.0,25.0,40.0,27.0,5.0,351.0,6.0,5.0,13.0,38.0,97.0,1101.0
MED2,MED,2,Calabria,19.2,37.6,21.7,36.6,9.4,41.7,300.0,1,E-SS,-999,NUBIA,EURASIA,DEF_CALABRIAN_ARC,Serpelloni et al. (2009),9.0,345.0,45.0,6.0,12.0,338.0,38.0,9.0,3.0,135.0,165.0,-3.0,21.0,51.0,240.0,1226.0
MED3,MED,3,Calabria,18.0,36.1,20.1,34.0,11.0,42.1,320.0,1,E,-999,NUBIA,EURASIA,DEF_CALABRIAN_ARC,Serpelloni et al. (2009),9.0,347.0,27.0,8.0,11.0,339.0,19.0,11.0,3.0,135.0,175.0,-3.0,15.0,52.0,242.0,1393.0
MED4,MED,4,Aegean,18.8,37.0,15.4,37.0,28.9,36.4,91.0,1,SS-E,-999,NUBIA,EURASIA,WESTERN_PELOPONNESE,Vernant et al. (2014),9.0,346.0,105.0,-2.0,55.0,20.0,71.0,18.0,48.0,206.0,115.0,-20.0,-999.0,-999.0,247.0,-999.0
MED5,MED,5,Aegean,18.9,35.0,16.2,33.5,27.7,39.1,57.0,1,E-SS,-999,NUBIA,EURASIA,WESTERN_PELOPONNESE,Vernant et al. (2014),9.0,349.0,68.0,3.0,51.0,9.0,48.0,34.0,43.0,193.0,136.0,-31.0,12.0,48.0,-999.0,-999.0
MED6,MED,6,Aegean,20.0,33.7,18.2,31.5,26.1,40.2,35.0,1,E-SS,-999,NUBIA,EURASIA,WESTERN_PELOPONNESE,Vernant et al. (2014),9.0,352.0,43.0,6.0,46.0,2.0,33.0,38.0,37.0,184.0,149.0,-32.0,11.0,57.0,-999.0,-999.0
MED7,MED,7,Aegean,22.0,33.2,20.9,30.7,25.6,40.8,20.0,1,E-SS,-999,NUBIA,EURASIA,AEGEAN_SEA,Vernant et al. (2014),9.0,354.0,26.0,8.0,40.0,24.0,4.0,40.0,33.0,212.0,168.0,-32.0,13.0,54.0,-999.0,-999.0
MED8,MED,8,Aegean,24.0,33.0,23.4,30.4,26.2,40.9,12.0,1,E-SS,-999,NUBIA,EURASIA,AEGEAN_SEA,Vernant et al. (2014),9.0,355.0,17.0,9.0,41.0,25.0,13.0,40.0,33.0,213.0,159.0,-31.0,15.0,48.0,277.0,5551.0
MED9,MED,9,Aegean,26.0,32.2,26.5,29.5,24.2,40.2,350.0,1,E-SS,-999,NUBIA,EURASIA,AEGEAN_SEA,Vernant et al. (2014),10.0,357.0,7.0,10.0,42.0,26.0,36.0,34.0,33.0,214.0,136.0,-24.0,14.0,52.0,276.0,4832.0
NPA1,NPA,1,Japan,142.2,35.0,145.1,33.7,133.0,38.3,297.1,1,SS-C,-999,PACIFIC,AMUR,OKHOTSK,Argus et al. (2011),99.0,287.0,10.0,98.0,93.0,291.0,7.0,93.0,8.0,247.0,51.0,5.0,19.0,30.0,132.0,5067.0
NPA10,NPA,10,Kurils,155.1,47.0,158.1,45.3,144.8,51.5,307.6,2,Neutral,-999,PACIFIC,OKHOTSK,-999,-999,87.0,298.0,9.0,86.0,87.0,298.0,9.0,86.0,0.0,-999.0,-999.0,0.0,27.0,45.0,114.0,5692.0
