Short_Name,previous,next,Zone,id,Trench_Name,Lon,Lat,Lon1,Lat1,Lon2,Lat2,Az,ZT,Xarc,EXarc,Harc1,EHarc1,Tsp,ETsp,Tsp1,ETsp1,Tsed,ETsed,Tsed1,ETsed1,Tchannel,ETchannel,Tchannel1,ETchannel1,MT,MT1,UPN,Geodetic_UPS,Seismic_UPS,Rsw,Riw,Rlw,ERsw,ERiw,ERlw,A,Phi,Tt_slab,Te_slab,alphaS,alphaD,Rc,Ztomo,Zseis,M56_SP_Name,M56_SP_ref,M56_UP_Name,M56_UP_ref,M56_ARC_Name,M56_ARC_ref,M56_vs,M56_Azvs,M56_Ovs,M56_vsn,M56_vszn,M56_vc,M56_Azvc,M56_Ovc,M56_vcn,M56_vd,M56_Azvd,M56_Ovd,M56_vdn,Vup1,Az_Vup1,OVup1,Vupn1,Vsub1,Az_Vsub1,OVsub1,Vsubn1,Vt1,Az_Vt1,OVt1,Vtn1,Vup2,Az_Vup2,OVup2,Vupn2,Vsub2,Az_Vsub2,OVsub2,Vsubn2,Vt2,Az_Vt2,OVt2,Vtn2,Vup3,Az_Vup3,OVup3,Vupn3,Vsub3,Az_Vsub3,OVsub3,Vsubn3,Vt3,Az_Vt3,OVt3,Vtn3,Vup4,Az_Vup4,OVup4,Vupn4,Vsub4,Az_Vsub4,OVsub4,Vsubn4,Vt4,Az_Vt4,OVt4,Vtn4,N15_SP_Name,N15_SP_ref,N15_UP_Name,N15_UP_ref,N15_ARC_Name,N15_ARC_ref,N15_vs,N15_Azvs,N15_Ovs,N15_vsn,N15_vszn,N15_vc,N15_Azvc,N15_Ovc,N15_vcn,N15_vd,N15_Azvd,N15_Ovd,N15_vdn,Vup5,Az_Vup5,OVup5,Vupn5,Vsub5,Az_Vsub5,OVsub5,Vsubn5,Vt5,Az_Vt5,OVt5,Vtn5,Vup6,Az_Vup6,OVup6,Vupn6,Vsub6,Az_Vsub6,OVsub6,Vsubn6,Vt6,Az_Vt6,OVt6,Vtn6,Vup7,Az_Vup7,OVup7,Vupn7,Vsub7,Az_Vsub7,OVsub7,Vsubn7,Vt7,Az_Vt7,OVt7,Vtn7,Vup8,Az_Vup8,OVup8,Vupn8,Vsub8,Az_Vsub8,OVsub8,Vsubn8,Vt8,Az_Vt8,OVt8,Vtn8,Vup9,Az_Vup9,OVup9,Vupn9,Vsub9,Az_Vsub9,OVsub9,Vsubn9,Vt9,Az_Vt9,OVt9,Vtn9,Ux,Ux1,Uz,Uz1,Dx,Dx1,Dz,Dz1,W,W1,theta,theta1,N,N1,tau,tau1,MR,MR1,MMRR,MMRR1,Mmax,Mmax1,SeismicC1,Phi_sed,Phi_channel
MED1,,MED2,MED,1,Calabria,17.4,40.0,20.8,40.6,7.5,37.5,255.0,1.5,249.0,-999.0,-999.0,-999.0,-999.0,-999.0,7.0,-999.0,-999.0,-999.0,7.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,1,1,SS-E,-999,292.0,811.0,822.0,155.0,444.0,591.0,-999.0,-999.0,-999.0,-999.0,45.0,54.0,-999.0,670.0,488.0,NUBIA,Argus et al. (2011),EURASIA,Argus et al. (2011),DEF_CALABRIAN_ARC,Serpelloni et al. (2009),12.0,335.0,80.0,2.0,1.0,9.0,341.0,86.0,1.0,3.0,135.0,120.0,-2.0,8.0,291.0,172.0,-6.0,15.0,318.0,63.0,7.0,5.0,278.0,23.0,-5.0,3.0,67.0,172.0,3.0,10.0,2.0,107.0,-3.0,5.0,99.0,156.0,5.0,4.0,58.0,163.0,4.0,10.0,2.0,107.0,-3.0,5.0,92.0,164.0,5.0,24.0,56.0,161.0,23.0,28.0,39.0,144.0,-22.0,25.0,63.0,168.0,25.0,AFRICA,Gripp & Gordon (2002),EURASIA,Gripp & Gordon (2002),-999,-999,8.0,-999.0,86.0,1.0,-999.0,8.0,-999.0,86.0,1.0,-999.0,-999.0,-999.0,0.0,21.0,245.0,10.0,-21.0,22.0,267.0,12.0,22.0,21.0,245.0,10.0,-21.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,7.2,0.0,7.0,0.0,20.6805782,-999.0
MED10,MED9,MED11,MED,10,Aegean,28.0,33.0,29.1,30.5,24.4,40.6,340.0,3.1,411.0,-999.0,125.0,3.0,-999.0,-999.0,6.5,-999.0,12.5,-999.0,-999.0,-999.0,4.0,-999.0,-999.0,-999.0,-999,1,1,E-SS,-999,60.0,251.0,236.0,70.0,388.0,276.0,267.0,4584.0,150.0,69.0,15.0,42.0,-999.0,-999.0,166.0,NUBIA,Argus et al. (2011),EURASIA,Argus et al. (2011),RHODES,Vernant et al. (2014),42.0,6.0,26.0,37.0,-999.0,10.0,358.0,18.0,10.0,32.0,189.0,151.0,-28.0,8.0,292.0,48.0,-5.0,15.0,329.0,11.0,15.0,31.0,203.0,137.0,22.0,4.0,66.0,86.0,0.0,12.0,17.0,37.0,10.0,30.0,182.0,158.0,27.0,4.0,61.0,81.0,-1.0,13.0,16.0,36.0,10.0,29.0,182.0,158.0,27.0,25.0,62.0,82.0,-3.0,31.0,45.0,65.0,13.0,26.0,139.0,159.0,24.0,AFRICA,Gripp & Gordon (2002),ANATOLIA,Mac Clusky et al. (2000),SE AEGEAN_SEA,Mac Clusky et al. (2000),37.0,-999.0,21.0,35.0,-999.0,18.0,-999.0,44.0,13.0,-999.0,-999.0,-999.0,-22.0,31.0,-999.0,76.0,8.0,21.0,275.0,65.0,9.0,44.0,209.0,70.0,15.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,31.0,130.0,30.0,27.0,-999.0,124.0,-999.0,6.0,-999.0,298.0,-999.0,45.0,-999.0,179.0,-999.0,12.0,2.0,17.0,34.0,31.0,0.0,11.62,0.0,7.8,0.0,7.8,0.0,14.2395716,4.43957806
MED11,MED10,MED12,MED,11,Aegean,30.0,34.4,32.1,32.3,23.2,40.4,320.0,2.7,363.0,-999.0,-999.0,-999.0,-999.0,-999.0,7.5,-999.0,-999.0,-999.0,9.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999,1,1,SS-E,-999,65.0,261.0,242.0,44.0,263.0,253.0,261.0,1811.0,149.0,68.0,18.0,43.0,-999.0,-999.0,166.0,NUBIA,Argus et al. (2011),EURASIA,Argus et al. (2011),ISPARTA,Vernant et al. (2014),20.0,8.0,48.0,14.0,-999.0,10.0,357.0,37.0,8.0,10.0,198.0,122.0,-5.0,8.0,292.0,28.0,-7.0,15.0,330.0,10.0,15.0,12.0,236.0,84.0,-1.0,4.0,64.0,104.0,1.0,13.0,16.0,56.0,7.0,8.0,175.0,145.0,7.0,4.0,60.0,100.0,1.0,13.0,15.0,55.0,7.0,8.0,175.0,145.0,6.0,25.0,63.0,103.0,6.0,31.0,45.0,85.0,3.0,19.0,86.0,126.0,11.0,AFRICA,Gripp & Gordon (2002),ANATOLIA,Mac Clusky et al. (2000),SE AEGEAN_SEA,Mac Clusky et al. (2000),21.0,-999.0,50.0,14.0,-999.0,17.0,-999.0,64.0,8.0,-999.0,-999.0,-999.0,-6.0,31.0,-999.0,78.0,6.0,22.0,277.0,43.0,16.0,31.0,231.0,89.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.0,95.0,45.0,15.0,-999.0,124.0,-999.0,6.0,-999.0,298.0,-999.0,45.0,-999.0,179.0,-999.0,12.0,0.0,17.0,0.0,31.0,0.0,11.62,0.0,7.8,0.0,7.8,0.0,17.1573315,-999.0
MED12,MED11,MED13,MED,12,Cyprean,31.5,34.6,30.9,31.9,33.4,42.6,10.0,2.4,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.0,-999.0,-999.0,-999.0,9.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,1,1,Neutral,-999,72.0,311.0,284.0,49.0,294.0,292.0,257.0,2243.0,147.0,67.0,28.0,51.0,-999.0,-999.0,123.0,NUBIA,Argus et al. (2011),ANATOLIA,Argus et al. (2011),-999,-999,16.0,34.0,24.0,14.0,-999.0,16.0,34.0,24.0,14.0,0.0,-999.0,-999.0,0.0,16.0,273.0,97.0,2.0,15.0,331.0,39.0,12.0,16.0,273.0,97.0,2.0,5.0,267.0,103.0,1.0,13.0,16.0,6.0,13.0,5.0,267.0,103.0,1.0,5.0,270.0,100.0,1.0,13.0,15.0,5.0,13.0,5.0,270.0,100.0,1.0,16.0,57.0,47.0,-11.0,31.0,45.0,35.0,25.0,16.0,57.0,47.0,-11.0,AFRICA,Gripp & Gordon (2002),ANATOLIA,Mac Clusky et al. (2000),CYPRUS,Mac Clusky et al. (2000),12.0,-999.0,12.0,12.0,-999.0,15.0,-999.0,12.0,15.0,-999.0,-999.0,-999.0,3.0,31.0,-999.0,53.0,19.0,22.0,278.0,88.0,-1.0,28.0,256.0,66.0,11.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,21.0,60.0,50.0,-14.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,1.0,17.0,7.0,0.0,0.02,0.0,6.4,0.0,5.9,0.0,17.8227139,-999.0
MED13,MED12,MED14,MED,13,Cyprean,33.5,34.1,33.2,31.4,34.4,42.2,5.0,2.3,-999.0,-999.0,-999.0,-999.0,10.0,-999.0,-999.0,-999.0,7.2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,1,1,Neutral,-999,131.0,817.0,823.0,56.0,372.0,370.0,-999.0,-999.0,-999.0,-999.0,28.0,52.0,-999.0,-999.0,69.0,NUBIA,Argus et al. (2011),ANATOLIA,Argus et al. (2011),-999,-999,12.0,41.0,36.0,10.0,-999.0,12.0,41.0,36.0,10.0,0.0,-999.0,-999.0,0.0,16.0,288.0,77.0,-3.0,16.0,333.0,32.0,13.0,16.0,288.0,77.0,-3.0,5.0,314.0,51.0,-3.0,14.0,17.0,12.0,13.0,5.0,314.0,51.0,-3.0,6.0,314.0,51.0,-4.0,14.0,16.0,11.0,13.0,6.0,314.0,51.0,-4.0,19.0,50.0,45.0,-13.0,31.0,46.0,41.0,23.0,19.0,50.0,45.0,-13.0,AFRICA,Gripp & Gordon (2002),ANATOLIA,Mac Clusky et al. (2000),CYPRUS,Mac Clusky et al. (2000),9.0,-999.0,29.0,8.0,-999.0,12.0,-999.0,31.0,10.0,-999.0,-999.0,-999.0,2.0,30.0,-999.0,68.0,11.0,22.0,279.0,86.0,2.0,27.0,263.0,78.0,6.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,23.0,55.0,50.0,-15.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,1.0,0.0,7.0,0.0,0.02,0.0,6.4,0.0,5.9,0.0,20.3113003,-999.0
MED14,MED13,MED15,MED,14,Makran,57.5,24.7,56.3,22.2,61.5,32.0,25.0,1.6,446.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.0,-999.0,-999.0,-999.0,7.3,-999.0,-999.0,-999.0,-999.0,-999.0,-999,1,1,C-SS,-999,424.0,1398.0,2151.0,177.0,572.0,815.0,-999.0,-999.0,-999.0,-999.0,14.0,27.0,-999.0,600.0,103.0,ARABIA,Argus et al. (2011),EURASIA,Argus et al. (2011),LUT BLOCK,Reilinger et al. (2006),29.0,27.0,2.0,29.0,-999.0,35.0,20.0,5.0,35.0,7.0,351.0,34.0,6.0,8.0,292.0,93.0,0.0,36.0,8.0,17.0,34.0,13.0,319.0,114.0,-5.0,6.0,62.0,37.0,-5.0,40.0,26.0,1.0,40.0,10.0,24.0,179.0,-10.0,5.0,65.0,40.0,-4.0,39.0,26.0,1.0,39.0,10.0,23.0,178.0,-10.0,24.0,79.0,54.0,-14.0,52.0,44.0,19.0,49.0,25.0,64.0,141.0,-20.0,ARABIA,Gripp & Gordon (2002),EURASIA,Gripp & Gordon (2002),DEFORMED EURASIA,Vernant et al. (2002),14.0,-999.0,15.0,14.0,-999.0,35.0,-999.0,16.0,34.0,-999.0,-999.0,-999.0,20.0,23.0,-999.0,58.0,12.0,36.0,332.0,53.0,22.0,27.0,301.0,84.0,-3.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,31.0,51.0,26.0,-28.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,2.0,0.0,6.0,0.0,13.13,0.0,8.0,0.0,8.0,0.0,20.2286739,-999.0
MED15,MED14,MED16,MED,15,Makran,59.5,24.2,59.1,21.4,60.8,32.1,8.0,3.3,449.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.0,-999.0,3.0,-999.0,-999.0,-999.0,4.7,-999.0,-999.0,-999.0,-999,1,1,C-SS,-999,136.0,638.0,922.0,80.0,391.0,569.0,-999.0,-999.0,-999.0,-999.0,15.0,29.0,-999.0,600.0,97.0,ARABIA,Argus et al. (2011),EURASIA,Argus et al. (2011),LUT BLOCK,Reilinger et al. (2006),31.0,27.0,19.0,30.0,15.0,36.0,21.0,13.0,35.0,6.0,350.0,18.0,6.0,8.0,291.0,77.0,-2.0,37.0,9.0,1.0,37.0,12.0,317.0,129.0,-8.0,6.0,62.0,54.0,-4.0,41.0,26.0,18.0,39.0,10.0,25.0,163.0,-10.0,5.0,65.0,57.0,-3.0,40.0,26.0,18.0,38.0,9.0,24.0,164.0,-9.0,24.0,80.0,72.0,-7.0,53.0,44.0,36.0,43.0,25.0,66.0,122.0,-13.0,ARABIA,Gripp & Gordon (2002),EURASIA,Gripp & Gordon (2002),DEFORMED EURASIA,Vernant et al. (2002),15.0,-999.0,2.0,15.0,8.0,37.0,-999.0,3.0,37.0,-999.0,-999.0,-999.0,22.0,23.0,293.0,75.0,6.0,37.0,334.0,34.0,31.0,26.0,309.0,53.0,-16.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,35.0,52.0,44.0,-25.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,2.0,0.0,6.0,0.0,13.13,0.0,8.0,0.0,8.0,0.0,28.9591084,16.6893654
MED16,MED15,MED17,MED,16,Makran,61.5,24.0,61.6,21.3,61.3,32.1,359.0,3.4,492.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.0,-999.0,-999.0,-999.0,7.4,-999.0,-999.0,-999.0,4.0,-999.0,-999,1,1,C-SS,-999,68.0,504.0,511.0,54.0,660.0,614.0,-999.0,-999.0,-999.0,-999.0,14.0,34.0,-999.0,600.0,77.0,ARABIA,Argus et al. (2011),EURASIA,Argus et al. (2011),LUT BLOCK,Reilinger et al. (2006),33.0,26.0,27.0,29.0,15.0,38.0,21.0,22.0,35.0,6.0,349.0,10.0,6.0,8.0,291.0,68.0,-3.0,38.0,10.0,11.0,38.0,12.0,316.0,137.0,-9.0,6.0,62.0,63.0,-3.0,42.0,27.0,28.0,38.0,10.0,27.0,152.0,-8.0,5.0,66.0,67.0,-2.0,42.0,26.0,27.0,37.0,9.0,26.0,153.0,-8.0,24.0,82.0,83.0,-3.0,53.0,44.0,45.0,38.0,24.0,68.0,111.0,-9.0,ARABIA,Gripp & Gordon (2002),EURASIA,Gripp & Gordon (2002),DEFORMED EURASIA,Vernant et al. (2002),16.0,-999.0,11.0,16.0,9.0,38.0,-999.0,12.0,37.0,-999.0,-999.0,-999.0,22.0,23.0,274.0,85.0,2.0,38.0,336.0,23.0,35.0,26.0,316.0,43.0,-19.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,38.0,52.0,53.0,-22.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,2.0,0.0,6.0,0.0,13.13,0.0,8.0,0.0,8.0,0.0,20.0802555,11.664053
MED17,MED16,MED18,MED,17,Makran,63.5,24.1,63.7,21.4,62.8,32.2,356.0,3.2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.0,-999.0,7.5,-999.0,-999.0,-999.0,3.6,-999.0,-999.0,-999.0,-999,1,1,C,-999,130.0,902.0,1042.0,62.0,516.0,504.0,93.0,1173.0,89.0,40.0,13.0,38.0,-999.0,600.0,170.0,ARABIA,Argus et al. (2011),EURASIA,Argus et al. (2011),LUT BLOCK,Reilinger et al. (2006),34.0,26.0,30.0,30.0,15.0,39.0,21.0,25.0,35.0,5.0,350.0,7.0,5.0,8.0,291.0,65.0,-3.0,39.0,10.0,14.0,38.0,11.0,314.0,138.0,-8.0,6.0,62.0,66.0,-3.0,44.0,26.0,30.0,38.0,9.0,29.0,147.0,-8.0,5.0,66.0,70.0,-2.0,43.0,26.0,30.0,37.0,8.0,28.0,148.0,-7.0,24.0,83.0,87.0,-1.0,54.0,44.0,48.0,36.0,24.0,71.0,105.0,-6.0,ARABIA,Gripp & Gordon (2002),EURASIA,Gripp & Gordon (2002),DEFORMED EURASIA,Vernant et al. (2002),17.0,-999.0,14.0,17.0,9.0,39.0,-999.0,15.0,38.0,-999.0,-999.0,-999.0,21.0,23.0,270.0,89.0,0.0,39.0,338.0,18.0,37.0,27.0,317.0,39.0,-21.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,37.0,52.0,56.0,-21.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,2.0,32.0,6.0,0.0,13.13,0.0,8.0,0.0,8.0,0.3,19.932869,11.1581049
MED18,MED17,,MED,18,Makran,65.5,24.5,66.3,21.9,63.0,32.3,345.0,2.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.0,-999.0,-999.0,-999.0,7.5,-999.0,-999.0,-999.0,3.0,-999.0,-999,1,1,C,-999,113.0,827.0,849.0,58.0,575.0,527.0,97.0,1101.0,91.0,41.0,13.0,38.0,-999.0,600.0,170.0,ARABIA,Argus et al. (2011),EURASIA,Argus et al. (2011),LUT BLOCK,Reilinger et al. (2006),36.0,25.0,40.0,27.0,-999.0,40.0,21.0,36.0,32.0,5.0,351.0,6.0,5.0,8.0,291.0,54.0,-4.0,40.0,10.0,25.0,36.0,11.0,313.0,148.0,-9.0,6.0,62.0,77.0,-1.0,45.0,26.0,41.0,34.0,9.0,32.0,133.0,-6.0,5.0,66.0,81.0,-1.0,44.0,26.0,41.0,33.0,8.0,31.0,134.0,-6.0,24.0,85.0,100.0,4.0,55.0,44.0,59.0,28.0,24.0,73.0,92.0,-1.0,ARABIA,Gripp & Gordon (2002),EURASIA,Gripp & Gordon (2002),DEFORMED EURASIA,Vernant et al. (2002),18.0,-999.0,25.0,16.0,-999.0,40.0,-999.0,27.0,36.0,-999.0,-999.0,-999.0,20.0,23.0,-999.0,79.0,4.0,41.0,339.0,6.0,41.0,27.0,319.0,26.0,-24.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,38.0,53.0,68.0,-14.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,2.0,0.0,6.0,0.0,13.13,0.0,8.0,0.0,8.0,0.23,19.932869,10.4873991
