time_Ma,segment,geo_ups,geo_zone,n_samples,n_age,median_age_Ma,median_width_km,median_edge_km,median_lon,median_lat,is_E,is_C,age_ge_55,edge_near
0.0,Andaman,E,Central_Andaman_Basin,17,15,82.187981,2565.897814,444.780335,91.912361,8.814424,1,0,1.0,1
0.0,Andes,C,Central_Andes_shortening,46,46,46.488501,6884.559025,1555.9998685,-72.4448195,-20.801523,0,1,0.0,0
0.0,Calabria,E,Tyrrhenian_Calabria,23,4,233.459366,7890.353345,290.974893,15.844239,37.357886,1,0,1.0,1
0.0,Cascadia,N,Cascadia_no_backarc,24,24,3.5890050000000002,1290.036767,311.43313250000006,-125.97265250000001,46.9455595,0,0,0.0,1
0.0,Hellenic,E,Aegean_rifting,37,12,306.493042,7890.353345,667.170502,20.123749,34.767309,1,0,1.0,1
0.0,Izu-Bonin,N,Izu_Bonin_post_Shikoku,27,23,134.17865,10186.753245,333.585251,142.362505,30.460956,0,0,1.0,1
0.0,Japan,C,NE_Japan_inversion,18,17,129.389832,10186.753245,250.188938,144.02263499999998,38.898279,0,1,1.0,1
0.0,Kermadec,E,Havre_Trough,33,30,114.951416,3754.768345,180.656987,-176.228616,-33.858588,1,0,1.0,1
0.0,Manus,E,Manus_Basin,23,13,39.776279,1026.424204,111.195084,152.253661,-6.240006,1,0,0.0,1
0.0,Mariana,E,Mariana_Trough,34,22,145.3450015,10186.753245,1027.890025,146.3887025,16.745171,1,0,1.0,1
0.0,NewHebrides,E,North_Fiji_Basin,43,26,38.765285,3967.120756,287.217709,167.013703,-17.29175,1,0,0.0,1
0.0,Ryukyu,E,Okinawa_Trough_phase2,29,25,63.334393,4365.731205,494.372468,128.336509,25.312142,1,0,1.0,1
0.0,Scotia,E,East_Scotia_Ridge,17,17,43.660351,928.677334,222.390167,-25.139542,-57.67424,1,0,0.0,1
0.0,Tonga,E,Lau_Basin,37,30,97.942627,3754.768345,847.82749,-174.178919,-17.325579,1,0,1.0,1
