Short_Name,Zone,id,Trench_Name,Lon,Lat,Lon1,Lat1,Lon2,Lat2,Az,UPN,Geodetic_UPS,Seismic_UPS,M56_SP_Name,M56_UP_Name,M56_ARC_Name,M56_ARC_ref,M56_vc,M56_Azvc,M56_Ovc,M56_vcn,M56_vs,M56_Azvs,M56_Ovs,M56_vsn,M56_vd,M56_Azvd,M56_Ovd,M56_vdn,alphaS,alphaD,A,Phi,join_distance_km,muller_row,muller_lon,muller_lat,subducting_plate_id,trench_plate_id,trench_normal_azimuth_deg,arc_segment_length_km,conv_mag_cm_yr,conv_obliquity_deg,conv_perp_cm_yr,conv_parallel_cm_yr,v_T_perp,v_T_parallel,v_OP_perp,v_OP_parallel,seafloor_age_Ma,dist_nearest_trench_edge_km,zone_id,trench_zone_width_km,upper_plate_nature,UPS_3,M56_vc_cm_yr,M56_vcn_cm_yr,M56_vs_cm_yr,M56_vsn_cm_yr,M56_vd_cm_yr,M56_vdn_cm_yr
MED1,MED,1,Calabria,17.400000,40.000000,20.800000,40.600000,7.500000,37.500000,255.000000,1,SS-E,-999,NUBIA,EURASIA,DEF_CALABRIAN_ARC,Serpelloni et al. (2009),9.000000,341.000000,86.000000,1.000000,12.000000,335.000000,80.000000,2.000000,3.000000,135.000000,120.000000,-2.000000,45.000000,54.000000,-999.000000,-999.000000,9.680753,210,17.305876,40.048831,701,307051,225.351438,55.597542,3.331659,66.067968,1.351496,3.045227,4.252881,-3.088302,-4.039512,-2.534629,,958.145396,6,7890.353345,continental,SS,0.900000,0.100000,1.200000,0.200000,0.300000,-0.200000
MED10,MED,10,Aegean,28.000000,33.000000,29.100000,30.500000,24.400000,40.600000,340.000000,1,E-SS,-999,NUBIA,EURASIA,RHODES,Vernant et al. (2014),10.000000,358.000000,18.000000,10.000000,42.000000,6.000000,26.000000,37.000000,32.000000,189.000000,151.000000,-28.000000,15.000000,42.000000,267.000000,4584.000000,95.210336,30,27.452671,33.724010,701,307068,319.923431,55.597542,1.075833,45.350260,0.756064,0.765365,0.843392,2.345370,-0.911452,2.125459,307.425140,680.720552,6,7890.353345,continental,E,1.000000,1.000000,4.200000,3.700000,3.200000,-2.800000
MED11,MED,11,Aegean,30.000000,34.400000,32.100000,32.300000,23.200000,40.400000,320.000000,1,SS-E,-999,NUBIA,EURASIA,ISPARTA,Vernant et al. (2014),10.000000,357.000000,37.000000,8.000000,20.000000,8.000000,48.000000,14.000000,10.000000,198.000000,122.000000,-5.000000,18.000000,43.000000,261.000000,1811.000000,26.446662,35,30.287266,34.419990,701,307072,355.146290,55.597542,1.195908,-19.139014,1.129806,-0.392092,-0.558332,3.023162,0.512241,3.022982,337.951660,402.732842,6,7890.353345,continental,SS,1.000000,0.800000,2.000000,1.400000,1.000000,-0.500000
MED12,MED,12,Cyprean,31.500000,34.600000,30.900000,31.900000,33.400000,42.600000,10.000000,1,Neutral,-999,NUBIA,ANATOLIA,-999,-999,16.000000,34.000000,24.000000,14.000000,16.000000,34.000000,24.000000,14.000000,0.000000,-999.000000,-999.000000,0.000000,28.000000,51.000000,257.000000,2243.000000,19.141833,37,31.497493,34.427866,701,307072,2.617709,55.597542,1.436577,-21.658259,1.335157,-0.530197,-0.667072,2.942605,0.912738,2.939028,,291.537759,6,7890.353345,continental,N,1.600000,1.400000,1.600000,1.400000,0.000000,0.000000
MED13,MED,13,Cyprean,33.500000,34.100000,33.200000,31.400000,34.400000,42.200000,5.000000,1,Neutral,-999,NUBIA,ANATOLIA,-999,-999,12.000000,41.000000,36.000000,10.000000,12.000000,41.000000,36.000000,10.000000,0.000000,-999.000000,-999.000000,0.000000,28.000000,52.000000,-999.000000,-999.000000,68.928456,40,33.221809,34.675811,701,307073,330.840000,55.597542,1.476411,14.688641,1.428159,0.374368,1.030004,2.744781,-1.282072,2.663474,,124.745133,6,7890.353345,continental,N,1.200000,1.000000,1.200000,1.000000,0.000000,0.000000
MED16,MED,16,Makran,61.500000,24.000000,61.600000,21.300000,61.300000,32.100000,359.000000,1,C-SS,-999,ARABIA,EURASIA,LUT BLOCK,Reilinger et al. (2006),38.000000,21.000000,22.000000,35.000000,33.000000,26.000000,27.000000,29.000000,6.000000,349.000000,10.000000,6.000000,14.000000,34.000000,-999.000000,-999.000000,190.943578,339,62.189209,25.599175,503,4060,16.827585,55.597542,2.883388,-9.498454,2.843856,-0.475819,-1.543933,3.174442,1.544009,3.174598,,341.337924,10,897.313343,continental,C,3.800000,3.500000,3.300000,2.900000,0.600000,0.600000
MED17,MED,17,Makran,63.500000,24.100000,63.700000,21.400000,62.800000,32.200000,356.000000,1,C,-999,ARABIA,EURASIA,LUT BLOCK,Reilinger et al. (2006),39.000000,21.000000,25.000000,35.000000,34.000000,26.000000,30.000000,30.000000,5.000000,350.000000,7.000000,5.000000,13.000000,38.000000,93.000000,1173.000000,120.720340,342,63.775453,25.156394,503,4060,17.507465,55.597542,2.971629,-9.215120,2.933277,-0.475882,-1.522403,3.174504,1.522448,3.174598,,174.545298,10,897.313343,continental,C,3.900000,3.500000,3.400000,3.000000,0.500000,0.500000
MED18,MED,18,Makran,65.500000,24.500000,66.300000,21.900000,63.000000,32.300000,345.000000,1,C,-999,ARABIA,EURASIA,LUT BLOCK,Reilinger et al. (2006),40.000000,21.000000,36.000000,32.000000,36.000000,25.000000,40.000000,27.000000,5.000000,351.000000,6.000000,5.000000,13.000000,38.000000,97.000000,1101.000000,73.929619,345,65.416670,25.160549,503,4060,356.683802,35.551444,3.057217,12.056290,2.989784,0.638569,-0.229719,3.510417,0.229720,3.510428,,7.752673,10,897.313343,continental,C,4.000000,3.200000,3.600000,2.700000,0.500000,0.500000
MED2,MED,2,Calabria,19.200000,37.600000,21.700000,36.600000,9.400000,41.700000,300.000000,1,E-SS,-999,NUBIA,EURASIA,DEF_CALABRIAN_ARC,Serpelloni et al. (2009),9.000000,345.000000,45.000000,6.000000,12.000000,338.000000,38.000000,9.000000,3.000000,135.000000,165.000000,-3.000000,21.000000,51.000000,240.000000,1226.000000,16.462155,8,19.376774,37.552149,701,307061,121.080982,55.597542,1.149758,-74.173918,0.313560,-1.106175,-0.538829,-1.741278,0.767808,-2.228185,,444.780335,6,7890.353345,continental,E,0.900000,0.600000,1.200000,0.900000,0.300000,-0.300000
MED3,MED,3,Calabria,18.000000,36.100000,20.100000,34.000000,11.000000,42.100000,320.000000,1,E,-999,NUBIA,EURASIA,DEF_CALABRIAN_ARC,Serpelloni et al. (2009),9.000000,347.000000,27.000000,8.000000,11.000000,339.000000,19.000000,11.000000,3.000000,135.000000,175.000000,-3.000000,15.000000,52.000000,242.000000,1393.000000,18.527432,220,18.079478,36.253775,701,307055,312.172695,55.597542,7.682505,16.144367,7.379538,2.136186,7.665576,0.828291,-7.649612,0.588465,223.196793,402.169977,6,7890.353345,continental,E,0.900000,0.800000,1.100000,1.100000,0.300000,-0.300000
