time_Ma,lon,lat,subducting_plate_id,trench_plate_id,trench_normal_azimuth_deg,arc_segment_length_km,conv_mag_cm_yr,conv_obliquity_deg,conv_perp_cm_yr,conv_parallel_cm_yr,v_T_perp,v_T_parallel,v_OP_perp,v_OP_parallel,seafloor_age_Ma,dist_nearest_trench_edge_km,zone_id,trench_zone_width_km,bab_on,dist_to_backarc_ridge_km,backarc_spreading_cm_yr,dilat_rate_1e-15_s,dilat_in_network
0.000000,-179.974390,-37.031677,901,806,298.490168,37.215286,4.924276,-43.905053,3.547891,-3.414815,-1.650391,3.292101,1.650438,3.292199,121.571091,166.792626,37,3754.768345,0,,,0.543169,1.000000
0.000000,-179.677340,-36.591856,901,806,298.312178,55.597542,4.994318,-43.129762,3.644890,-3.414381,-1.598017,3.291667,1.598268,3.292199,121.241051,222.390167,37,3754.768345,0,,,0.002751,1.000000
0.000000,-179.383660,-36.151307,901,806,298.138018,55.597542,5.065124,-42.381189,3.741489,-3.414197,-1.545642,3.291484,1.545976,3.292199,120.896942,277.987709,37,3754.768345,0,,,0.000000,0.000000
0.000000,-179.325314,50.395059,901,111,7.518227,55.597542,6.802393,-55.552053,3.847823,-5.609528,2.177668,0.024919,-2.177770,0.024920,54.657185,1273.989677,38,10186.753245,0,,,0.000000,0.000000
0.000000,-179.278712,-14.940154,901,821,167.860072,27.798771,-15.413642,96.701278,-1.798662,15.308337,1.844965,-9.722968,-1.844965,-9.722968,,0.000000,37,3754.768345,1,220.779266,4.380729,0.000000,0.000000
0.000000,-179.093263,-35.710049,901,806,297.967610,55.597542,5.136637,-41.658450,3.837686,-3.414265,-1.493267,3.291551,1.493566,3.292199,120.455101,333.585251,37,3754.768345,0,,,0.000000,0.000000
0.000000,-178.806067,-35.268100,901,806,297.800877,55.597542,5.208802,-40.960678,3.933477,-3.414583,-1.440892,3.291869,1.441042,3.292199,119.467026,373.644636,37,3754.768345,0,,,0.000000,0.000000
0.000000,-178.773039,-14.834449,901,821,167.730154,55.597542,-15.443842,97.599750,-2.042480,15.308186,1.627110,-9.722817,-1.627136,-9.722968,,55.597542,37,3754.768345,1,178.330601,6.556467,0.000000,0.000000
0.000000,-178.558758,-34.812941,901,806,287.481165,55.597542,5.285065,-30.160954,4.569559,-2.655379,-0.784505,3.489058,0.784527,3.489158,118.329369,318.047094,37,3754.768345,0,,,0.000000,0.000000
0.000000,-178.549571,50.409767,901,111,351.229475,55.597542,6.776964,-38.889307,5.274920,-4.254699,2.092428,-0.608865,-2.092746,-0.608957,54.656799,1329.587218,38,10186.753245,0,,,0.000000,0.000000
0.000000,-178.376868,-34.335897,901,806,287.377946,55.597542,5.367646,-29.648932,4.664875,-2.655290,-0.731788,3.488968,0.731828,3.489158,117.359764,262.449552,37,3754.768345,0,,,0.000000,0.000000
0.000000,-178.262956,-14.755516,901,821,173.076426,55.597542,-15.464110,93.022588,-0.815417,15.442597,2.330014,-9.531504,-2.330081,-9.531786,,111.195084,37,3754.768345,1,135.072755,6.556467,0.000000,0.000000
