lon,lat,subducting_plate_id,trench_plate_id,trench_normal_azimuth_deg,arc_segment_length_km,conv_mag_cm_yr,conv_obliquity_deg,conv_perp_cm_yr,conv_parallel_cm_yr,v_T_perp,v_T_parallel,v_OP_perp,v_OP_parallel,seafloor_age_Ma,dist_nearest_trench_edge_km,zone_id,trench_zone_width_km,upper_plate_nature
19.661507,41.109256,701,307,90.232950,27.798771,-0.196186,-172.820166,-0.194647,-0.024520,-2.307749,-1.981144,2.307749,-1.981144,,0.000000,6,7890.353345,continental
19.658829,40.609260,701,307,90.231198,55.597542,-0.132280,-157.567038,-0.122270,-0.050478,-2.247795,-1.955187,2.336530,-1.981144,,55.597542,6,7890.353345,continental
19.656191,40.109264,701,307069,90.229489,55.597542,-0.091242,-123.270049,-0.050054,-0.076287,-2.187840,-1.929377,2.165016,-1.922741,,111.195084,6,7890.353345,continental
19.943011,39.682116,701,307069,53.568489,55.597542,-0.117060,-98.987185,-0.018286,-0.115623,-2.943228,-0.205637,2.912491,-0.236044,,166.792626,6,7890.353345,continental
20.326606,39.279199,701,307067,53.812388,55.597542,-0.174167,-115.957802,-0.076234,-0.156596,-3.013037,-0.164663,3.031347,-0.146729,,222.390167,6,7890.353345,continental
20.319915,38.855678,701,307067,118.574951,55.597542,-0.181570,-129.974426,-0.116649,-0.139143,-1.086761,-2.659031,1.180487,-2.815723,,277.987709,6,7890.353345,continental
20.014686,38.416183,701,307061,118.384374,55.597542,0.419091,-85.383463,0.033731,-0.417732,-0.947954,-2.380431,0.831327,-2.185513,,333.585251,6,7890.353345,continental
19.704247,37.979917,701,307061,121.281540,55.597542,0.747565,-78.134965,0.153705,-0.731593,-0.687252,-2.115836,0.740091,-2.228185,,389.182793,6,7890.353345,continental
19.376774,37.552149,701,307061,121.080982,55.597542,1.149758,-74.173918,0.313560,-1.106175,-0.538829,-1.741278,0.767808,-2.228185,,444.780335,6,7890.353345,continental
19.053043,37.123487,701,307062,120.884633,55.597542,1.554432,-72.270922,0.473350,-1.480608,-0.390406,-1.366825,0.302874,-1.180572,,500.377877,6,7890.353345,continental
18.902181,36.658758,701,307062,88.384611,55.597542,1.838705,-42.509516,1.355430,-1.242437,-0.910311,-0.695522,0.913788,-0.827029,,555.975419,6,7890.353345,continental
18.919638,36.158955,701,307086,88.394973,55.597542,2.018480,-48.176019,1.346012,-1.504165,-0.930857,-0.433792,0.929158,-0.366705,222.491318,611.572960,6,7890.353345,continental
18.939890,35.659227,701,307086,88.029073,55.597542,2.383260,-49.974058,1.532756,-1.824989,-0.767796,-0.097936,0.958704,-0.360525,232.966492,667.170502,6,7890.353345,continental
18.960924,35.159520,701,307063,88.041260,55.597542,2.808619,-50.852954,1.773117,-2.178164,-0.538215,0.255283,0.483165,0.331117,238.993652,722.768044,6,7890.353345,continental
19.294852,34.767309,701,307063,46.615354,55.597542,2.897856,-9.614446,2.857153,-0.483992,-0.157890,0.583033,0.166616,0.572255,,778.365586,6,7890.353345,continental
19.711107,34.403220,701,307064,46.851636,55.597542,2.894977,-9.900583,2.851864,-0.497760,-0.173538,0.596801,0.162324,0.611533,,833.963128,6,7890.353345,continental
20.123749,34.037734,701,307064,47.083699,55.597542,2.891951,-10.188946,2.846344,-0.511571,-0.189187,0.610612,0.188488,0.611533,,889.560670,6,7890.353345,continental
20.645618,33.791197,701,307083,28.562832,55.597542,2.822546,4.772788,2.812759,0.234849,-0.038550,0.837971,0.066924,1.014758,,945.158212,6,7890.353345,continental
21.174277,33.553736,701,307083,26.729576,55.597542,2.758051,2.876291,2.754577,0.138398,-0.064646,1.039772,0.054851,1.017336,,1000.755754,6,7890.353345,continental
